Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
-0.21139000775466885,0.0676277769209737,0.9392389515819489,-0.10380068214993822,-0.08478769227299703,-0.029948313921281316,-0.0375815077266448
0.198752133555397,-0.43618726365518756,-0.37493663960700174,0.3762905294634241,-0.015947477756490542,0.30673125280445546,-0.05507768252450927
0.361810411081117,0.004755798666169125,0.39595368318075685,0.4555697243456568,-0.022668401387842742,0.4153831869100646,-0.04698612648612318
-0.09586442339439925,-0.16873190111023859,-0.13957112937163466,0.07228875211886152,0.11347021629616402,0.07030341455202957,0.0016294245570970555
-0.23697254162286993,0.069261899853143,0.9345622580591016,-0.11820561489462836,-0.061414805292829576,-0.0874134466384827,-0.039224797717965304
0.34100814996676054,-0.5847380372235347,-0.3390996414344337,0.1813321869093736,-0.03600641897586339,-0.18632919039645077,-0.4539346012480506
0.5445676595709212,0.6266098303402617,-0.05714483764301524,0.20680723329885617,-0.03715209395596209,0.3289489542265585,0.09363578563880366
-0.1581912033247061,-0.329803148351486,-0.09567597978582484,-0.0764771000896658,-0.3626651191783004,-0.18800938926941094,0.01938869982385314
-0.4005345865327646,-0.27483370337294455,0.13552152641467682,-0.5683693392369923,-0.33229490597937367,-0.10575844368666702,0.10435751344795463
-0.20868616377539467,-0.1341673866986127,0.08081885995658737,-0.06263710583790678,-0.09149510515303477,-0.023697112090319553,0.039483413677809255
0.2995864606099721,0.2515104053057681,-0.37615893720566723,0.0921924447703228,0.4636224455755408,0.12430075235362689,0.009465783323526112
0.008080284942967794,0.017902803621961817,0.40323324853520187,0.12587967174778691,0.07419207604674562,0.14924531433854601,-0.06734074571494751
-0.4532251881918337,0.08160990672652926,0.44129108795842514,-0.06047948716066242,0.18499528697901305,0.14385626766377632,0.20785662275681238
0.23648361819115793,-0.08315914576968227,-0.32506490001676863,0.7945765632961208,0.21766170874547114,0.16744614075854336,0.034415127033425766
-0.10595906421941907,-0.260201067887259,-0.03742193075406693,-0.04295459587571167,-0.12376030032696167,0.059192526425822255,-0.09336757968209378
0.8688978283506892,0.17716269244638794,-0.05081337260196084,0.14978894441654592,0.2122766213410837,-0.049349768791047126,0.20574872388943827
-0.1154390905561049,-0.8203294249971235,0.09774547535346506,0.057565279919262066,-0.20105638949680602,0.14633745182015273,-0.18468239634900913
-0.4578920369749886,-0.5405888614374351,0.08064600508587932,-0.5389886144907695,-0.13209560467339534,-0.0029683123098047503,0.01881796265846566
-0.5272517225076193,-0.6307590544699652,0.07499931301287316,-0.19148351032062777,0.05880907854926908,-0.33109164700617866,-0.12202809749492793
-0.030731062534508104,0.055037435773817873,-0.07032964663003886,0.16202853123469746,0.9591957862099187,-0.0250749984608409,0.010889775689213428
0.045317310062786546,0.9008266439205922,0.2434463819642466,-0.032154911192494584,0.00642513394815017,0.2061172243146631,0.0821940394573342
-0.1630393888395533,-0.22408358968740366,0.11068891861874094,-0.16458730973343205,-0.012911077236974145,-0.9128681563260562,0.013785087443366671
-0.744481772118511,-0.22168409446083975,0.17930332108497055,-0.12875685235893408,-0.041583294186297415,-0.035471233912410895,-0.13400618179948218
0.8547949527314778,0.11761748439107615,-0.07349766302979424,0.12381024050361839,-0.14036103142144785,0.025206267368337244,0.01941386495661913
-0.27627416246943215,-0.22977512616396864,0.06310956744242835,0.09629117914939005,-0.0033500513153029684,0.1148143904563881,-0.09621231872101023
0.13144840001379038,0.34806789474114863,-0.16922092957166437,0.05224689560695649,-0.013092640093523128,-0.011276000974597286,-0.012592343586609128
-0.7983646354221406,-0.24320909645107347,0.36008910938702454,0.09923495127005034,-0.017425254398235022,-0.22611244014600104,0.03999889196274212
0.9585385994992308,0.040548313130558324,-0.1008240821866557,0.11852692551489356,-0.03422289978459137,0.016064294393507504,-0.018674492847197046
0.845606528741364,-0.08426276034382255,-0.11524641290938267,0.20525028305681434,-0.1508208845007574,0.07982897454859422,-0.16073699312144304
0.7483316880457481,-0.011625405808944098,-0.15269662731781564,0.22678385427823888,0.002155427437394641,0.13885304239613913,-0.021435166086341054
-0.04212185921037768,-0.21019588495868236,0.08008532661087851,0.05191194951967943,-0.008763172112718898,0.024156411217472046,-0.9608344712290028
0.7526929513459081,-0.015175243341282032,-0.0813064598089454,0.47246189468092537,0.015010579367806339,0.09229802862238896,-0.2519068706366347
-0.6046165393377574,0.02682789115512534,-0.0051165622163700745,-0.6903851214217179,-0.05112111260786102,-0.11199818224651412,0.14298540506185708
0.8003080460612501,0.062247624409853715,-0.22001234038154688,0.07548835721318015,0.4259334601754959,0.09353455367794102,0.08912965049290798
0.554503905520313,-0.0479054264940292,0.0050216013088378204,0.09174904176601176,0.20035543247456672,0.017335899518317058,-0.01842998331566039
